MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,speed_calc,acceleration,delta_heading,speed_ma,acceleration_ma,delta_heading_ma,LAT_pred,LON_pred,prediction_error,Label
367104070,2020-01-01 00:00:00,33.73502,-118.27088,0.0,307.4,511.0,0.0,,0.0,0.0,,0.0,33.73502,-118.27088,0.0,Normal
367103740,2020-01-01 00:00:00,60.77837,-148.69868,0.0,335.6,265.0,0.0,,0.0,0.0,,0.0,60.77837,-148.69868,0.0,Normal
367098340,2020-01-01 00:00:00,25.24851,-81.73935,32.5,6.3,5.0,0.0,,0.0,0.0,,0.0,25.24851,-81.73935,0.0,Normal
367098070,2020-01-01 00:00:00,32.84205,-79.89596,0.7,359.8,322.0,0.0,,0.0,0.0,,0.0,32.84205,-79.89596,0.0,Normal
338200126,2020-01-01 00:00:00,32.7077,-117.2353,6.1,336.9,511.0,0.0,,0.0,0.0,,0.0,32.7077,-117.2353,0.0,Normal
369970441,2020-01-01 00:00:00,28.89682,-95.38311,0.0,236.1,84.0,0.0,,0.0,0.0,,0.0,28.89682,-95.38311,0.0,Normal
367087250,2020-01-01 00:00:00,29.41652,-89.60507,4.7,2.0,511.0,0.0,,0.0,0.0,,0.0,29.41652,-89.60507,0.0,Normal
367086910,2020-01-01 00:00:00,31.97779,-81.05541,0.0,0.0,511.0,0.0,,0.0,0.0,,0.0,31.97779,-81.05541,0.0,Normal
369970622,2020-01-01 00:00:00,30.35745,-81.62,0.0,297.7,511.0,0.0,,0.0,0.0,,0.0,30.35745,-81.62,0.0,Normal
367082010,2020-01-01 00:00:00,47.65938,-122.38145,0.0,42.8,359.0,0.0,,0.0,0.0,,0.0,47.65938,-122.38145,0.0,Normal
369970628,2020-01-01 00:00:00,40.39245,-91.37593,0.0,247.7,511.0,0.0,,0.0,0.0,,0.0,40.39245,-91.37593,0.0,Normal
367080390,2020-01-01 00:00:00,30.52373,-91.21183,0.1,42.8,285.0,0.0,,0.0,0.0,,0.0,30.52373,-91.21183,0.0,Normal
367079560,2020-01-01 00:00:00,29.41775,-89.05376,0.3,148.5,511.0,0.0,,0.0,0.0,,0.0,29.41775,-89.05376,0.0,Normal
367079240,2020-01-01 00:00:00,30.42728,-91.19621,10.7,182.4,511.0,0.0,,0.0,0.0,,0.0,30.42728,-91.19621,0.0,Normal
369332000,2020-01-01 00:00:00,60.88905,-146.92335,9.9,215.9,214.0,0.0,,0.0,0.0,,0.0,60.88905,-146.92335,0.0,Normal
368092650,2020-01-01 00:00:00,30.40011,-81.43258,0.0,360.0,511.0,0.0,,0.0,0.0,,0.0,30.40011,-81.43258,0.0,Normal
367120990,2020-01-01 00:00:00,44.84255,-87.38446,0.1,161.8,511.0,0.0,,0.0,0.0,,0.0,44.84255,-87.38446,0.0,Normal
367127110,2020-01-01 00:00:00,29.80178,-95.06503,0.6,289.6,511.0,0.0,,0.0,0.0,,0.0,29.80178,-95.06503,0.0,Normal
368173000,2020-01-01 00:00:00,39.82234,-75.38045,6.7,221.0,219.0,0.0,,0.0,0.0,,0.0,39.82234,-75.38045,0.0,Normal
368465000,2020-01-01 00:00:00,29.13851,-90.19773,0.0,101.0,340.0,0.0,,0.0,0.0,,0.0,29.13851,-90.19773,0.0,Normal
367149340,2020-01-01 00:00:00,29.96476,-90.02724,1.3,10.0,16.0,0.0,,0.0,0.0,,0.0,29.96476,-90.02724,0.0,Normal
367148710,2020-01-01 00:00:00,39.94153,-75.14047,0.0,273.0,511.0,0.0,,0.0,0.0,,0.0,39.94153,-75.14047,0.0,Normal
